0.33UF_0603	2	"C24 C115"	SMD0603	Farnell	1759404RL	MULTICOMP	MCCA000526	MLCC 0603 X5R 16V 0.33UF	0.33uF
2.2NF_0402	2	"C29 C122"	SMD0402	Digi-Key	1276-1054-1-ND	Samsung Electro-Mechanics America, Inc	CL05B222KB5NNNC	CAP CER 2200PF 50V 10% X7R 0402	2.2nF
4.7UF_0603	8	"C118 C119 C152 C153 C227 C228 C229 C230"	SMD0603	Digi-Key	1276-2087-1-ND	Samsung Electro-Mechanics America, Inc.	CL10B475KQ8NQNC	CAP CER 4.7UF 6.3V X7R 0603	4.7uF
100NF_0402	31	"C113 C114 C124 C125 C126 C127 C128 C129 C130 C131 C132 C133 C134 C135 C136 C137 C138 C139 C143 C144 C146 C147 C148 C149 C150 C151 C155 C156 C161 C162 C163"	C_SM0402	DigiKey	399-3027-1-ND	KEMET	C0402C104K8PACTU	CAP, CER, 0.1UF, 10V, 10%, X5R, 0402,	100nF
1UF_0402	1	"C140"	C_SM0402	Digi-Key	311-1377-1-ND	Yageo	CC0402ZRY5V5BB105	CAP, CER, 1UF, 6.3V, Y5V, 0402,	1uF
1UF_0402	1	"C157"	C_SM0402	Digi-Key	490-6298-1-ND	Murata Electronics North America	GRM155R61A105KE15J	CAP, CER, 1UF, 10V, 10%, X5R, 0402,	1uF
13PF_0402	2	"C158 C159"	C_SM0402	DigiKey	490-5925-1-ND	Murata Electronics North America	GRM1555C1H130JA01D	CAP CER, 13PF, 50V, 5%, NPO, 0402,	13pF
10NF_0402	13	"C165 C177 C179 C181 C184 C185 C187 C196 C198 C199 C200 C201 C202"	C_SM0402	DigiKey	311-1349-1-ND	Yageo	CC0402KRX7R9BB103	CAP CER, 10000PF, 50V, 10%, X7R, 0402,	10nF
100NF_0402	17	"C166 C170 C172 C174 C176 C178 C180 C182 C183 C186 C188 C189 C190 C191 C192 C193 C194"	C_SM0402	DigiKey	399-3027-1-ND	KEMET	C0402C104K8PACTU	CAP, CER, 0.1UF, 10V, 10%, X5R, 0402,	100nF
10UF_0805	3	"C123 C141 C142"	C_SM0805	Digi-Key	445-11388-1-ND	TDK Corporation	C2012JB0J106K125AB	CAP CER, 10UF, 6.3V, 10%, JB, 0805,	10uF
22UF_0805	4	"C164 C168 C169 C171"	C_SM0805	Digi-Key	587-1958-1-ND	Taiyo Yuden	LMK212BJ226MG-T	CAP CER, 22UF, 10V, 20%, X5R, 0805,	22uF
100UF_1206	4	"C14 C70 C86 C100"	C_SM1206	DigiKey	490-4539-1-ND	Murata Electronics North America	GRM31CR60J107ME39L	CAP CER, 100UF, 6.3V, 20%, X5R, 1206,	100uF
100UF_1206_NF	1	"C15"	C_SM1206	DigiKey	490-4539-1-ND	Murata Electronics North America	GRM31CR60J107ME39L	CAP CER, 100UF, 6.3V, 20%, X5R, 1206,	100uF NF	NOFIT
10NF_0402	7	"C71 C74 C77 C80 C83 C94 C97"	SM0402	DigiKey	311-1349-1-ND	Yageo	CC0402KRX7R9BB103	CAP CER, 10000PF, 50V, 10%, X7R, 0402,	10nF
100PF_0402	5	"C4 C5 C8 C9 C10"	SMD0402	Digi-Key	311-1024-1-ND	Yageo	CC0402JRNPO9BN101	CAP CER, 100PF, 50V, 5%, NPO, 0402,	100pF
150PF_0402	2	"C11 C12"	SMD0402	Digi-Key	587-1213-1-ND	Taiyo Yuden	UMK105CG151JV-F	CAP CER 150PF 50V NP0 0402	150pF
1UF_0402	14	"C16 C17 C20 C33 C34 C35 C36 C73 C76 C79 C82 C85 C96 C99"	SMD0402	Digi-Key	311-1377-1-ND	Yageo	CC0402ZRY5V5BB105	CAP, CER, 1UF, 6.3V, Y5V, 0402,	1uF
